,learning_rewards,learning_steps,learning_discounted_rewards,learning_success,learning_collision,learning_fell_into_cliff
164,-113.0,14.0,-17.752819092763065,0.0,0.0,1.0
165,-110.0,11.0,-11.868453698054852,0.0,1.0,1.0
166,-115.0,16.0,-9.286756664005951,0.0,2.5,1.0
167,-111.5,12.5,-9.345133405308086,0.0,1.0,1.0
168,-77.0,27.5,-4.491172792399672,0.0,7.0,0.5
169,-103.0,4.0,-62.35271166555568,0.0,0.5,1.0
170,-102.5,3.5,-65.34419004520086,0.0,0.5,1.0
171,-113.5,14.5,-26.525090368371128,0.0,3.5,1.0
172,-66.0,16.5,-32.91706794612629,0.0,6.0,0.5
173,-101.5,2.5,-69.8434415968,0.0,1.5,1.0
174,-65.0,15.5,-52.19642634932629,0.0,4.0,0.5
175,-102.0,3.0,-69.21687454715979,0.0,0.5,1.0
176,-107.5,8.5,-18.298872419772568,0.0,2.0,1.0
177,-103.5,4.5,-46.06483164200087,0.0,0.5,1.0
178,-107.0,8.0,-53.48469045659099,0.0,1.0,1.0
179,-65.5,16.0,-41.319226349326286,0.0,4.0,0.5
180,-106.0,7.0,-54.35480732369699,0.0,0.0,1.0
181,-100.5,1.5,-89.1228,0.0,0.5,1.0
182,-70.5,21.0,-7.186752430937391,0.0,4.5,0.5
183,-106.5,7.5,-35.7109676784111,0.0,1.5,1.0
184,-104.0,5.0,-58.25694617744409,0.0,2.5,1.0
185,-105.0,6.0,-46.00092761644375,0.0,2.0,1.0
186,-72.5,23.0,-5.38819640066274,0.0,2.5,0.5
187,-70.5,21.0,-7.186752430937391,0.0,2.5,0.5
188,-106.0,7.0,-31.108471541741494,0.0,2.0,1.0
189,-76.5,27.0,-4.519855053451033,0.0,4.5,0.5
190,-108.0,9.0,-52.96550192677515,0.0,1.5,1.0
191,-65.0,15.5,-52.19642634932629,0.0,2.0,0.5
192,-65.0,15.5,-52.19642634932629,0.0,2.5,0.5
193,-110.0,11.0,-11.868453698054852,0.0,2.0,1.0
194,-66.0,16.5,-32.91706794612629,0.0,2.5,0.5
195,-110.5,11.5,-12.120843223477767,0.0,1.5,1.0
196,-108.0,9.0,-23.57168187085678,0.0,2.5,1.0
197,-101.5,2.5,-69.8434415968,0.0,0.5,1.0
198,-125.5,26.5,-4.584715932481488,0.0,4.0,1.0
199,-65.0,15.5,-52.19642634932629,0.0,0.5,0.5
200,-109.0,10.0,-33.68614352357515,0.0,3.5,1.0
201,-101.0,2.0,-80.7206415968,0.0,0.0,1.0
202,-104.0,5.0,-49.16472624232848,0.0,1.5,1.0
203,-65.0,15.5,-52.19642634932629,0.0,3.5,0.5
204,-106.0,7.0,-44.1131260816111,0.0,1.0,1.0
205,-105.0,6.0,-38.977587774244085,0.0,2.0,1.0
206,-78.5,29.0,-4.438682542123196,0.0,3.0,0.5
207,-101.0,2.0,-80.7206415968,0.0,0.0,1.0
208,-66.0,16.5,-32.91706794612629,0.0,2.0,0.5
209,-111.0,12.0,-33.19149954542387,0.0,0.0,1.0
210,-102.0,3.0,-69.21687454715979,0.0,0.0,1.0
211,-109.5,10.5,-52.551417748873554,0.0,1.5,1.0
212,-73.5,24.0,-4.987146105675315,0.0,4.0,0.5
213,-100.5,1.5,-89.1228,0.0,0.5,1.0
214,-115.0,16.0,-10.617506137007796,0.0,3.5,1.0
215,-30.0,30.0,-4.392852698652579,0.0,6.5,0.0
216,-67.0,17.5,-21.413300896486085,0.0,5.5,0.5
217,-107.5,8.5,-18.298872419772568,0.0,2.5,1.0
218,-113.0,14.0,-52.25547628964874,0.0,2.0,1.0
219,-102.0,3.0,-61.4412831936,0.0,0.0,1.0
220,-65.0,15.5,-52.19642634932629,0.0,3.5,0.5
221,-112.0,13.0,-11.222448104219238,0.0,1.0,1.0
222,-113.0,14.0,-52.25547628964874,0.0,2.0,1.0
223,-109.0,10.0,-52.65570822011034,0.0,0.0,1.0
