,learning_rewards,learning_steps,learning_discounted_rewards,learning_success,learning_collision,learning_fell_into_cliff
169,-104.0,5.0,-58.25694617744409,0.0,0.0,1.0
170,-102.5,3.5,-65.34419004520086,0.0,1.0,1.0
171,-101.5,2.5,-74.23034392529775,0.0,0.0,1.0
172,-101.0,2.0,-80.7206415968,0.0,0.0,1.0
173,-101.5,2.5,-74.23034392529775,0.0,0.5,1.0
174,-111.5,12.5,-41.48335995956371,0.0,2.5,1.0
175,-103.5,4.5,-60.04192624232848,0.0,0.5,1.0
176,-23.0,23.5,-4.358494623938546,0.5,3.0,0.0
177,-65.0,15.5,-52.19642634932629,0.0,2.0,0.5
178,-65.5,16.0,-41.319226349326286,0.0,0.5,0.5
179,-103.0,4.0,-54.46699004520086,0.0,0.5,1.0
180,-112.5,13.5,-9.004820997424126,0.0,3.5,1.0
181,-101.5,2.5,-74.23034392529775,0.0,1.5,1.0
182,-111.0,12.0,-52.36055995956371,0.0,0.5,1.0
183,-102.5,3.5,-65.34419004520086,0.0,0.5,1.0
184,-101.5,2.5,-74.23034392529775,0.0,0.5,1.0
185,-116.5,17.5,-7.3508860411748085,0.0,0.0,1.0
186,-65.5,16.0,-41.319226349326286,0.0,2.0,0.5
187,-121.0,22.0,-6.088053018951459,0.0,2.0,1.0
188,-113.0,14.0,-41.39539065843069,0.0,3.0,1.0
189,-107.0,8.0,-22.222317661644617,0.0,1.0,1.0
190,-65.0,15.5,-52.19642634932629,0.0,2.0,0.5
191,-111.5,12.5,-10.362818073034742,0.0,1.0,1.0
192,-65.0,15.5,-52.19642634932629,0.0,2.5,0.5
193,-119.0,20.0,-5.126566168734213,0.0,2.0,1.0
194,-67.5,18.0,-17.540616394527156,0.0,2.0,0.5
195,-105.5,6.5,-44.93585094608767,0.0,2.5,1.0
196,-108.0,9.0,-52.96550192677515,0.0,2.0,1.0
197,-102.5,3.5,-58.33967454715979,0.0,0.5,1.0
198,-65.0,15.5,-52.19642634932629,0.0,1.5,0.5
199,-104.0,5.0,-49.16472624232848,0.0,1.0,1.0
200,-125.5,26.5,-4.584715932481488,0.0,4.0,1.0
201,-110.5,11.5,-52.4086290475622,0.0,1.5,1.0
202,-68.5,19.0,-12.238352591654769,0.0,4.0,0.5
203,-102.0,3.0,-69.21687454715979,0.0,2.0,1.0
204,-102.5,3.5,-54.950985522097746,0.0,0.5,1.0
205,-102.0,3.0,-69.21687454715979,0.0,1.0,1.0
206,-103.5,4.5,-43.447218472457536,0.0,1.5,1.0
207,-100.5,1.5,-89.1228,0.0,0.5,1.0
208,-103.0,4.0,-54.46699004520086,0.0,2.0,1.0
209,-65.5,16.0,-41.319226349326286,0.0,3.0,0.5
210,-30.0,30.0,-4.392852698652579,0.0,2.5,0.0
211,-73.5,24.0,-4.987146105675315,0.0,8.0,0.5
212,-116.0,17.0,-12.314516900759171,0.0,3.0,1.0
213,-30.0,30.0,-4.392852698652579,0.0,3.5,0.0
214,-65.0,15.5,-52.19642634932629,0.0,0.0,0.5
215,-66.0,16.5,-32.91706794612629,0.0,1.5,0.5
216,-72.0,22.5,-5.68111680591728,0.0,2.0,0.5
217,-30.0,30.0,-4.392852698652579,0.0,4.5,0.0
218,-102.0,3.0,-63.35314392529774,0.0,1.0,1.0
219,-104.0,5.0,-43.07335326235568,0.0,1.0,1.0
220,-103.0,4.0,-62.35271166555568,0.0,1.0,1.0
221,-30.0,30.0,-4.392852698652579,0.0,4.5,0.0
222,-113.0,14.0,-7.839497780287975,0.0,0.5,1.0
223,-30.0,30.0,-4.392852698652579,0.0,2.0,0.0
224,-108.5,9.5,-27.715034381888735,0.0,1.5,1.0
225,-113.5,14.5,-17.70475000476457,0.0,2.5,1.0
